defined_class	parent	parent_label	structure	structure_label	present	present_label
PPO:0002663	PPO:0002065	unopened pistillate flower presence	PPO:0001057	unopened pistillate flower	PPO:0002364	unopened pistillate flower present
PPO:0002664	PPO:0002066	non-senesced staminate flower presence	PPO:0001058	non-senesced staminate flower	PPO:0002365	non-senesced staminate flower present
PPO:0002665	PPO:0002067	non-senesced pistillate flower presence	PPO:0001059	non-senesced pistillate flower	PPO:0002366	non-senesced pistillate flower present
PPO:0002666	PPO:0002068	senesced staminate flower presence	PPO:0001060	senesced staminate flower	PPO:0002367	senesced staminate flower present
PPO:0002667	PPO:0002069	senesced pistillate flower presence	PPO:0001061	senesced pistillate flower	PPO:0002368	senesced pistillate flower present
PPO:0002668	PPO:0002070	pollen-releasing staminate flower presence	PPO:0001062	pollen-releasing staminate flower	PPO:0002369	pollen-releasing staminate flower present
PPO:0002669	PPO:0002071	senesced true leaf presence	PPO:0001063	senesced true leaf	PPO:0002370	senesced true leaf present
PPO:0002670	PPO:0002072	open megasporangiate strobilus presence	PPO:0001064	open megasporangiate strobilus	PPO:0002371	open megasporangiate strobilus present
PPO:0002671	PPO:0002073	developing megasporangiate strobilus presence	PPO:0001065	developing megasporangiate strobilus	PPO:0002372	developing megasporangiate strobilus present
PPO:0002672	PPO:0002074	dehiscing megasporangiate strobilus presence	PPO:0001066	dehiscing megasporangiate strobilus	PPO:0002373	dehiscing megasporangiate strobilus present
PPO:0002673	PPO:0002075	dehisced megasporangiate strobilus presence	PPO:0001067	dehisced megasporangiate strobilus	PPO:0002374	dehisced megasporangiate strobilus present
PPO:0002674	PPO:0002076	unopened microsporangiate strobilus presence	PPO:0001068	unopened microsporangiate strobilus	PPO:0002375	unopened microsporangiate strobilus present
PPO:0002675	PPO:0002077	senesced microsporangiate strobilus presence	PPO:0001069	senesced microsporangiate strobilus	PPO:0002376	senesced microsporangiate strobilus present
