Type,ID,Label,Parent,Plant structure,Text definition,Superclass of,Equivalent to,Ignore,Notes,Plant type
Class,PPO:0002350,'pollen-releasing pollen cones present','pollen-releasing pollen cone presence','pollen-releasing pollen cone',A {'pollen-releasing pollen cone presence'} trait that is a {quality of} a {whole plant} that has at least one {'pollen-releasing pollen cone'}.,"'pollen-releasing pollen cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'pollen-releasing pollen cone'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'pollen-releasing pollen cone'
)",,,
Class,PPO:0002351,'seed cones present','seed cone presence',PO:'megasporangiate strobilus',A {'seed cone presence'} trait that is a {quality of} a {whole plant} that has at least one {PO:'megasporangiate strobilus'}.,"'seed cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME PO:'megasporangiate strobilus'
) AND 'depends on structure' SOME (
    'has visible part' SOME PO:'megasporangiate strobilus'
)",,,
Class,PPO:0002352,'fresh seed cones present','fresh seed cone presence','fresh seed cone',A {'fresh seed cone presence'} trait that is a {quality of} a {whole plant} that has at least one {'fresh seed cone'}.,"'fresh seed cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'fresh seed cone'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'fresh seed cone'
)",,,
Class,PPO:0002353,'ripening seed cones present','ripening seed cone presence','ripening seed cone',A {'ripening seed cone presence'} trait that is a {quality of} a {whole plant} that has at least one {'ripening seed cone'}.,"'ripening seed cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'ripening seed cone'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'ripening seed cone'
)",,,
Class,PPO:0002354,'unripe seed cones present','unripe seed cone presence','unripe seed cone',An {'unripe seed cone presence'} trait that is a {quality of} a {whole plant} that has at least one {'unripe seed cone'}.,"'unripe seed cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'unripe seed cone'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'unripe seed cone'
)",,,
Class,PPO:0002355,'ripe seed cones present','ripe seed cone presence','ripe seed cone',A {'ripe seed cone presence'} trait that is a {quality of} a {whole plant} that has at least one {'ripe seed cone'}.,"'ripe seed cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'ripe seed cone'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'ripe seed cone'
)",,,
,,,,,,,,,,
Class,PPO:0002356,abscised plant structures present,'abscised plant structure presence',PO:'plant structure',An {abscised plant structure presence} trait that is a {quality of} a {whole plant} from which at least one of some {plant structure} has been abscised or removed.,,"'abscised plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'abscised' SOME PO:'plant structure'
) AND 'depends on structure' SOME (
    'abscised' SOME PO:'plant structure'
)",,,
Class,PPO:0002357,abscised leaves present,'abscised leaf presence','true leaf',An {abscised leaf presence} trait that is a {quality of} a {whole plant} from which at least one {true leaf} has been {abscised}.,"'abscised leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'abscised plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'abscised' SOME 'true leaf'
) AND 'depends on structure' SOME (
    'abscised' SOME 'true leaf'
)",,,
Class,PPO:0002358,abscised fruits or seeds present,'abscised fruit or seed presence','ripe fruit' OR 'mature seed',An {abscised fruit or seed presence} trait that is a {quality of} a {whole plant} from which at least one {ripe fruit} has been abscised or removed by an herbivore or that has at least one {ripe fruit} that has abscised at least one {mature seed}.,"'abscised fruit or seed presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'abscised plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'abscised' SOME ('ripe fruit' OR 'mature seed')
) AND 'depends on structure' SOME (
    'abscised' SOME ('ripe fruit' OR 'mature seed')
)",,,
Class,PPO:0002359,abscised cones or seeds present,'abscised cone or seed presence','ripe seed cone' OR 'mature seed',An {abscised cone or seed presence} trait that is a {quality of} a {whole plant} from which at least one {ripe seed cone} has been abscised or removed by an herbivore or that has at least one ripe seed cone that has {abscised} at least one {mature seed}.,"'abscised cone or seed presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'abscised plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'abscised' SOME ('ripe seed cone' OR 'mature seed')
) AND 'depends on structure' SOME (
    'abscised' SOME ('ripe seed cone' OR 'mature seed')
)",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
