Type,ID,Label,Parent,Plant structure,Text definition,Superclass of,Equivalent to,Ignore,Notes,Plant type
Class,PPO:0002311,'breaking leaf buds present','breaking leaf bud presence','breaking leaf bud',A {'breaking leaf bud presence'} trait that is a {quality of} a {whole plant} that has at least one {'breaking leaf bud'}.,"'breaking leaf bud presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'breaking leaf bud'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'breaking leaf bud'
)",,,
,,,,,,,,,,
Class,PPO:0002312,'vascular leaves present','vascular leaf presence','vascular leaf',A {'vascular leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'vascular leaf'}.,"'vascular leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'vascular leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'vascular leaf'
)",,,
Class,PPO:0002313,'true leaves present','true leaf presence','true leaf',A {'true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'true leaf'}.,"'true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'true leaf'
)",,,
Class,PPO:0002314,'unfolding true leaves present','unfolding true leaf presence','unfolding true leaf',An {'unfolding true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'unfolding true leaf'}.,"'unfolding true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'unfolding true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'unfolding true leaf'
)",,,
Class,PPO:0002315,'unfolded true leaves present','unfolded true leaf presence','unfolded true leaf',An {'unfolded true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'unfolded true leaf'}.,"'unfolded true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'unfolded true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'unfolded true leaf'
)",,,
Class,PPO:0002316,'non-senescing unfolded true leaves present','non-senescing unfolded true leaf presence','non-senescing unfolded true leaf',A {'non-senescing unfolded true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'non-senescing unfolded true leaf'}.,"'non-senescing unfolded true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'non-senescing unfolded true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'non-senescing unfolded true leaf'
)",,,
Class,PPO:0002317,'senescing true leaves present','senescing true leaf presence','senescing true leaf',A {'senescing true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'senescing true leaf'}.,"'senescing true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'senescing true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'senescing true leaf'
)",,,
Class,PPO:0002318,'immature unfolded true leaves present','immature unfolded true leaf presence','immature unfolded true leaf',An {'immature unfolded true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'immature unfolded true leaf'}.,"'immature unfolded true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'immature unfolded true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'immature unfolded true leaf'
)",,,
Class,PPO:0002319,'mature true leaves present','mature true leaf presence','mature true leaf',An {'mature true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'mature true leaf'}.,"'mature true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'mature true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'mature true leaf'
)",,,
